station,model_a,model_b,DM,p
Bogra,ANN,SARIMA+XGB,2.000945585850249,0.04729093883901208
Bogra,ANN,SARIMA+LSTM,0.44290068903705404,0.6585068275573347
Bogra,SVR,XGB,-3.2436392185345064,0.0014691443432349053
Bogra,LSTM,SNAIVE,-1.4717578827886346,0.14328359508505678
Bogra,LSTM,SARIMA,7.287705062958082,1.9594783927992476e-11
Bogra,LSTM,SVR,7.019449704132582,8.26586518315141e-11
Bogra,LSTM,XGB,1.5656869380467309,0.11963219134514885
Bogra,LSTM,SARIMA+ANN,4.034535057470441,8.873053747823687e-05
Bogra,LSTM,SARIMA+SVR,7.099026170732781,5.4065212959138134e-11
Bogra,LSTM,SARIMA+XGB,7.122420508756345,4.770238511987046e-11
Bogra,LSTM,SARIMA+LSTM,3.4977043634983427,0.0006256798498515104
Bogra,SARIMA+ANN,SNAIVE,-5.638713369420247,8.845336931301009e-08
Bogra,SARIMA+ANN,SVR,0.7502070101852912,0.4543626012173929
Bogra,SARIMA+ANN,XGB,-2.651120751447279,0.008927246147049494
Bogra,SARIMA+ANN,SARIMA+SVR,1.349857323949956,0.17919463098053706
Bogra,SARIMA+ANN,SARIMA+XGB,1.7034558737819554,0.09065505216921275
Bogra,SARIMA+ANN,SARIMA+LSTM,0.4379165097763354,0.6621075569887033
Bogra,SARIMA+SVR,SNAIVE,-5.46104202717226,2.0403867538102912e-07
Bogra,SARIMA+SVR,SVR,-0.8741265805917681,0.38351497576612403
Bogra,SARIMA+SVR,XGB,-5.160194545254106,8.096362513303813e-07
Bogra,SARIMA+SVR,SARIMA+XGB,0.08719764269210163,0.9306363969200421
Bogra,SARIMA+XGB,SNAIVE,-5.211992459641062,6.407905130910534e-07
Bogra,SARIMA+XGB,SVR,-1.091347133402605,0.27695554923323307
Bogra,SARIMA+XGB,XGB,-6.4490018883605185,1.6220817886876008e-09
Bogra,SARIMA+LSTM,SNAIVE,-5.227036169092809,5.985469671103983e-07
Bogra,SARIMA+LSTM,SVR,0.34119147418573537,0.7334602462200285
Bogra,SARIMA+LSTM,XGB,-3.0248054290651427,0.002950436738392292
Bogra,SARIMA+LSTM,SARIMA+SVR,1.170632104424208,0.24369380081995515
Bogra,SARIMA+LSTM,SARIMA+XGB,1.216824167584065,0.2256755934305041
Chittagong,SNAIVE,SVR,1.9732733960009432,0.050392249298491024
Chittagong,SNAIVE,XGB,-0.08296976917776322,0.9339916056347634
Chittagong,SARIMA,SNAIVE,-1.4932092855774561,0.13758552567664312
Chittagong,SARIMA,SVR,-0.6883167192797239,0.49236845575238014
Chittagong,SARIMA,XGB,-1.1555593923412932,0.24978853729614262
Chittagong,SARIMA,SARIMA+ANN,-1.7761822928755593,0.0778294584946308
Chittagong,SARIMA,SARIMA+SVR,0.7815958920350201,0.43574424290467684
Chittagong,SARIMA,SARIMA+XGB,1.0373167744005363,0.30133911979278993
Chittagong,SARIMA,SARIMA+LSTM,0.8348979221168621,0.40516784852618565
Chittagong,ANN,SNAIVE,0.20639982564383155,0.8367721866464637
Chittagong,ANN,SARIMA,2.121732530434204,0.03558437685377311
Chittagong,ANN,SVR,2.8609133644503264,0.004858125476233995
Chittagong,ANN,XGB,-0.012882958625010925,0.9897391266682464
Chittagong,ANN,LSTM,-0.47409044144914203,0.6361584978991427
Chittagong,ANN,SARIMA+ANN,1.4254285431152742,0.15621247071823532
Chittagong,ANN,SARIMA+SVR,2.0360974879378597,0.04358656646300756
Chittagong,ANN,SARIMA+XGB,2.1539295738812956,0.03292165225284504
Chittagong,ANN,SARIMA+LSTM,2.2595843188210822,0.02535863641966499
Chittagong,SVR,XGB,-0.87612617530118,0.3824307860540035
Chittagong,LSTM,SNAIVE,0.3984868569786017,0.6908657007462046
Chittagong,LSTM,SARIMA,1.621884040723851,0.10703094294561415
Chittagong,LSTM,SVR,1.3516036337285167,0.17863632023440432
Chittagong,LSTM,XGB,0.7097397088168235,0.4790212638080779
