date,station,origin,actual,SNAIVE,SARIMA,SVR,SARIMA+SVR,XGB,SARIMA+XGB,ANN,SARIMA+ANN
2019-11-01,Dhaka,2017,30.32,30.29,30.073543475580937,30.197928175504664,30.11549962877095,30.252455,30.090508067620522,30.37040705686757,30.112637589563132
2019-12-01,Dhaka,2017,24.76,26.14,26.485487493544003,26.848043342211884,26.575168802660073,26.811787,26.536706599264523,26.90892110772362,26.549500750872667
2020-01-01,Dhaka,2017,24.02,27.17,24.596755190531372,25.03343668754428,24.528804541492857,25.02703,24.524631052056908,24.59106240669712,24.540162767273316
2020-02-01,Dhaka,2017,27.45,28.35,28.323738609756752,28.584742516633376,28.310371770019305,28.720285,28.30875755878113,28.16047151448532,28.169344071134077
2020-03-01,Dhaka,2017,32.29,31.51,32.024265152034104,31.89352772641413,32.1692719379804,31.85411,31.988057718244136,32.380785275365724,31.984566090386384
2020-04-01,Dhaka,2017,33.83,33.68,33.88987056544996,33.864958723876065,34.01310275093509,33.13525,33.87488951447434,34.39764914937247,34.08398510368348
2020-05-01,Dhaka,2017,33.39,34.59,33.75327084851588,33.803928357624955,33.81573256630863,33.686325,33.73828979754026,34.04890212935516,34.0044169883744
2020-06-01,Dhaka,2017,33.38,33.58,32.96740030908044,33.19853030113068,33.09741625541754,33.360126,32.969235905362474,33.326021646591116,33.09248959739414
2020-07-01,Dhaka,2017,33.02,32.97,32.39894300549988,32.50432120142654,32.54770252739887,32.37067,32.39909094981615,32.21696694283085,32.593636757255936
2020-08-01,Dhaka,2017,32.94,33.75,32.935613121155235,32.49845585391356,32.83099904363915,32.461025,32.9357610654715,32.39226858870417,32.585540606855986
2020-09-01,Dhaka,2017,33.54,33.34,32.967045238201855,32.61053026874647,32.87664472625512,32.518997,32.96719318251812,32.83648660606695,32.69252927613682
2020-10-01,Dhaka,2017,33.16,32.06,32.4758565289184,32.400522890075834,32.351490684110665,32.31172,32.47600447323467,32.78972627771168,32.142619266671765
2020-11-01,Dhaka,2017,30.77,30.32,30.459552669604328,30.272283786597647,30.358466931724376,30.442236,30.479007687126305,30.56805707144023,30.265263774630323
2020-12-01,Dhaka,2017,25.97,24.76,26.606220305827968,26.76751195024353,26.555355979675728,27.08444,26.591239254852347,26.648801499833283,26.366762826317615
2021-01-01,Dhaka,2020,25.58,24.02,25.01672439837904,24.458502094208484,24.96352094074064,24.998737,24.87324272656889,24.350604902915478,24.802237285063637
2021-02-01,Dhaka,2020,29.53,27.45,28.91334851463448,28.285298205251223,29.072795039975777,28.937445,28.929941535043827,28.6678207275999,28.739721367456447
2021-03-01,Dhaka,2020,34.47,32.29,32.91560086817639,33.1260528277213,33.00015162394544,33.417404,32.97522437409656,33.608087745913,32.99560221051725
2021-04-01,Dhaka,2020,36.13,33.83,34.85320412552239,34.85707296675258,34.747586719137516,34.713688,34.86527287306519,35.466186560590074,34.99866741644833
2021-05-01,Dhaka,2020,34.97,33.39,34.7608127847205,34.433699419708844,34.78294966510673,33.595207,34.71122692449792,34.88647799218,35.117324501040066
2021-06-01,Dhaka,2020,32.5,33.38,33.82256604573626,33.26997502312874,33.97286754533411,33.635826,33.90778663597006,34.13229102214014,34.26500094514777
2021-07-01,Dhaka,2020,32.84,33.02,32.40369312994997,32.52294894076283,32.647165032283944,32.322113,32.42664167442243,32.47959407107121,32.5043302773698
2021-08-01,Dhaka,2020,33.23,32.94,32.880359311247446,32.79127780229828,33.11416817911423,32.52969,32.92177091970501,33.115122236417996,33.29812889368505
2021-09-01,Dhaka,2020,33.89,33.54,33.10688390685041,32.681387354429255,33.24158084706516,32.69438,33.09558693608065,33.26571571859078,33.07836685526124
2021-10-01,Dhaka,2020,33.53,33.16,32.67332738923539,32.54778300819195,32.58658242228201,32.44438,32.660608667011154,32.9788269101514,32.42059073824384
2021-11-01,Dhaka,2020,30.0,30.77,30.64716095094088,30.613334166741783,30.7354903813602,30.504965,30.603301219534906,30.546067829342668,30.735493068703512
2021-12-01,Dhaka,2020,26.51,25.97,26.329091717561912,26.54325505225047,26.53309510910506,27.30821,26.333584041407537,26.47962952601685,26.611740757070788
2022-01-01,Dhaka,2020,25.15,25.58,25.19504654172415,25.729759046185485,25.411826791803325,25.607103,25.250954290363733,26.072776821293186,25.535475100156404
2022-02-01,Dhaka,2020,27.15,29.53,28.869100157278936,29.3037177484644,29.02069303097174,28.75548,29.023975912588995,28.379288186419735,28.729028208807584
2022-03-01,Dhaka,2020,33.92,34.47,32.25351918443012,31.64826998828755,32.23800914929721,31.271461,32.31380512147116,31.80637679367648,31.974811173873693
2022-04-01,Dhaka,2020,34.1,36.13,34.57413621513762,33.97494145330243,34.518966761069066,34.218857,34.537641740279575,34.840165346602696,34.427308305530076
2022-05-01,Dhaka,2020,33.5,34.97,34.018382265122256,33.8966390176501,33.994609887103636,33.751625,34.01376564882847,34.50425446884606,33.95920079500398
2022-06-01,Dhaka,2020,33.37,32.5,33.03034833661339,33.20426207740223,33.05144806025737,33.145233,33.03991666837654,33.3859636815724,33.31414045282129
2022-07-01,Dhaka,2020,34.27,32.84,32.54760784124229,32.58950935787719,32.650392322679245,32.38439,32.529379673574304,32.51388263741056,32.65319577385048
2022-08-01,Dhaka,2020,34.21,33.23,33.413668291781434,33.18125871560324,33.547852561830446,32.57187,33.44668197831918,33.35341690110394,33.8292419839248
2022-09-01,Dhaka,2020,33.21,33.89,33.63863204554369,33.26981889116609,33.62543247562275,32.7101,33.60221556336333,33.5211249725072,33.55318580529113
2022-10-01,Dhaka,2020,32.72,33.53,32.65925755113794,32.33400522689692,32.64052996853955,32.271793,32.591988985840814,31.942203732886473,32.7014235582086
2022-11-01,Dhaka,2020,31.04,30.0,30.31148686823771,30.231785869034482,30.516832036771063,30.02744,30.336022032474734,30.296946393346502,30.500066999322776
2022-12-01,Dhaka,2020,27.41,26.51,26.615284332917934,26.660072500647082,26.682618340254628,27.610275,26.691566916095024,26.710178949538488,26.435365965164863
2023-01-01,Dhaka,2020,25.08,25.15,25.566395149183666,25.581897279593022,25.565410192244354,25.952217,25.51189616004864,26.07400646261989,25.84251418561003
2023-02-01,Dhaka,2020,29.32,27.15,28.809190477201355,28.170556046367764,28.767345143959734,27.730839,28.83800610802473,27.514468721399787,28.694591769087292
2023-03-01,Dhaka,2020,32.35,33.92,33.13568289818284,32.499078317096235,33.15442487518,32.716526,33.12806218450931,32.61853887876088,33.07619910657645
2023-04-01,Dhaka,2020,36.36,34.1,34.23070062120367,33.814919035152506,34.41288147412353,33.669174,34.31486011465002,34.5718954185982,34.36261113645154
2023-05-01,Dhaka,2020,35.44,33.5,34.636598109901335,34.91404881950687,34.7062219367517,34.371128,34.70532003015318,35.411877993020255,35.12909685436063
2023-06-01,Dhaka,2020,34.2,33.37,33.880729240324456,33.458507962752506,33.91308856971167,33.452747,33.922023829963166,34.36867166580051,34.02413796172205
2023-07-01,Dhaka,2020,34.41,34.27,33.197455735956005,32.75242386501098,33.21387496925051,32.727165,33.07101094916897,33.2054592192428,33.45612510903732
2023-08-01,Dhaka,2020,32.73,34.21,33.67223510344538,32.98263294246644,33.734470866214046,32.668526,33.713768517719835,33.475135029373355,34.14030685942436
2023-09-01,Dhaka,2020,34.03,33.21,33.178790513946105,32.90530387352125,33.43033150072672,32.605854,33.19848607160001,33.27233586335446,33.25208501001763
2023-10-01,Dhaka,2020,32.81,32.72,32.824449675695426,32.48731698552592,33.00053922872779,32.30891,32.845531158687,33.11434941144551,33.234212219580705
2023-11-01,Dhaka,2020,30.92,31.04,30.454604879315966,30.773620250720192,30.463767340506475,30.555897,30.411086559589975,30.918739826514475,30.29350139867136
2023-12-01,Dhaka,2020,26.74,27.41,26.673962673630665,27.407197216711538,26.712446815549324,28.595633,26.712545766022156,27.342273807125697,26.294015220340764
2012-01-01,Chittagong,2011,25.37,25.04,25.050209106817135,25.57870431585987,25.126374158009796,25.803347,25.09296296717156,25.701160010590456,25.098405477215184
2012-02-01,Chittagong,2011,29.55,28.81,28.165911610538135,28.024760581324287,28.060291970694344,28.215702,28.17182870239205,28.03858488595634,27.925390895061582
2012-03-01,Chittagong,2011,30.28,30.51,31.21131130048923,31.061267268855282,31.15107927178021,30.828615,31.217228392343145,30.954447434440674,31.224951198040024
2012-04-01,Chittagong,2011,31.31,31.16,31.51829406965658,31.84456204808407,31.680272550998946,31.627827,31.54358264591679,31.332481316981116,31.607091656607846
