date,station,origin,actual,SNAIVE,SARIMA,LSTM,SARIMA+LSTM
2014-06-01,Bhola,2011,32.77,32.36,32.37380339502804,32.07873215198517,32.527872638916485
2014-07-01,Bhola,2011,31.73,31.11,31.42207179772076,31.569031758308412,31.605269631293737
2014-08-01,Bhola,2011,31.28,31.0,31.673841700444466,31.767959542274475,31.90006708489531
2014-09-01,Bhola,2011,32.0,31.96,31.667186481907713,31.974259771108628,31.917967191660754
2014-10-01,Bhola,2011,32.48,31.12,32.006404961392874,31.954096953272824,32.253086168424524
2014-11-01,Bhola,2011,30.5,30.43,30.194100524627977,30.627673257589343,30.47289415842327
2014-12-01,Bhola,2011,26.17,27.14,27.079007102203956,27.7098961648345,27.346049724038153
2015-01-01,Bhola,2014,25.9,25.13,25.44018135097122,26.183541969060897,25.598792146988277
2015-02-01,Bhola,2014,29.02,27.83,28.80201490586189,27.874312376976015,28.95557958802016
2015-03-01,Bhola,2014,32.32,32.24,32.27779263257001,31.253425812721254,32.4347212753787
2015-04-01,Bhola,2014,32.84,35.54,33.48255129686387,33.1668130493164,33.61317887781272
2015-05-01,Bhola,2014,34.11,34.49,33.0546655006193,33.04443302154541,33.101954059707005
2015-06-01,Bhola,2014,31.96,32.77,32.15286745578714,32.85428812980652,32.18747710922267
2015-07-01,Bhola,2014,30.82,31.73,31.156073369675834,32.18176920890808,31.18559783765699
2015-08-01,Bhola,2014,31.82,31.28,31.349145340948954,31.347729511260987,31.364508257243507
2015-09-01,Bhola,2014,32.39,32.0,31.708108906315736,31.19431610584259,31.737028283214745
2015-10-01,Bhola,2014,31.96,32.48,32.13831728090312,30.941670351028442,32.17815422975575
2015-11-01,Bhola,2014,30.19,30.5,30.122511974902192,29.721339383125304,30.16151424382779
2015-12-01,Bhola,2014,26.34,26.17,26.888688223698185,27.892452540397645,26.928589139322355
2016-01-01,Bhola,2014,25.62,25.9,25.48677023748506,26.526243418455124,25.534606144677362
2016-02-01,Bhola,2014,29.94,29.02,28.75870347087245,28.065645558834078,28.785161337249278
2016-03-01,Bhola,2014,33.06,32.32,32.49299036115065,31.14865450382233,32.535955458014826
2016-04-01,Bhola,2014,33.85,32.84,33.693731335227916,32.64396823883057,33.766335522127385
2016-05-01,Bhola,2014,33.58,34.11,33.45025927457404,33.00516438484192,33.560081057987965
2016-06-01,Bhola,2014,32.48,31.96,32.11860523726622,32.63872768402099,32.21933302036496
2016-07-01,Bhola,2014,31.19,30.82,31.260724997702745,32.2320830821991,31.38244045142738
2016-08-01,Bhola,2014,31.89,31.82,31.513368087212587,31.543085117340087,31.645952014071607
2016-09-01,Bhola,2014,32.85,32.39,31.81519094556999,31.2304358625412,31.941927963743794
2016-10-01,Bhola,2014,32.74,31.96,32.2648118178807,31.015357837677,32.40208087854721
2016-11-01,Bhola,2014,29.62,30.19,30.365014922514842,30.16919012069702,30.533670576261898
2016-12-01,Bhola,2014,28.19,26.34,26.794337046099148,27.899411408901216,26.955025206242805
2017-01-01,Bhola,2014,27.16,25.62,25.933471711811052,27.098851652145385,26.125958272737446
2017-02-01,Bhola,2014,30.49,29.94,29.348763553439667,27.99499647140503,29.57526453157479
2017-03-01,Bhola,2014,30.91,33.06,32.82704105764913,30.39264123916626,33.07712986923173
2017-04-01,Bhola,2014,32.8,33.85,33.277008286884495,31.496941804885864,33.49695837608111
2017-05-01,Bhola,2014,34.82,33.58,33.07714540016872,32.10687318325043,33.255222840714325
2017-06-01,Bhola,2014,33.83,32.48,32.33215463928865,32.66766654491425,32.512722980494715
2017-07-01,Bhola,2014,31.96,31.19,31.649847457775877,32.666404008865356,31.859487486465348
2017-08-01,Bhola,2014,33.06,31.89,31.851479434875607,32.031205568313595,32.092275776268075
2017-09-01,Bhola,2014,32.9,32.85,32.267790642548974,32.13030150413513,32.541845901713316
2017-10-01,Bhola,2014,31.67,32.74,32.43178684189718,31.778247909545897,32.72114986814088
2017-11-01,Bhola,2014,30.47,29.62,30.105412670179653,30.232078199386596,30.38373468588897
2017-12-01,Bhola,2014,26.74,28.19,27.029455768160595,28.761913585662843,27.317216513218767
2018-01-01,Bhola,2017,24.7,27.16,25.73877347880591,26.536710495948792,26.1447276764
2018-02-01,Bhola,2017,29.6,30.49,28.784680440317842,28.884810848236086,29.098243249539568
2018-03-01,Bhola,2017,33.05,30.91,32.32320158363028,32.075730390548706,32.58210913408417
2018-04-01,Bhola,2017,33.17,32.8,33.69401274891017,33.71961058616638,34.02244246344876
2018-05-01,Bhola,2017,32.32,34.82,33.455476509442015,33.067239665985106,33.77615561576749
2018-06-01,Bhola,2017,32.86,33.83,31.93724099641174,32.08171411514282,32.144480487213805
2018-07-01,Bhola,2017,31.79,31.96,31.31795176808055,31.566554646492005,31.46479873077588
2018-08-01,Bhola,2017,32.34,33.06,31.821297915881996,31.49476629257202,31.969471828254377
2018-09-01,Bhola,2017,33.68,32.9,32.13806662344131,31.97638578414917,32.272408248507716
2018-10-01,Bhola,2017,31.95,31.67,32.55664698200026,32.24589779853821,32.73922888697973
2018-11-01,Bhola,2017,30.51,30.47,30.27730462693834,30.007982668876647,30.52113140472815
2018-12-01,Bhola,2017,26.26,26.74,27.091174304733812,27.097349326610566,27.348447991979906
2019-01-01,Bhola,2017,27.37,24.7,25.57429236856403,25.25055251836777,25.832103154488934
2019-02-01,Bhola,2017,28.55,29.6,29.481986770481434,29.477822680473327,29.808984684792875
2019-03-01,Bhola,2017,31.73,33.05,32.3116075567003,31.644421930313108,32.60200707403194
2019-04-01,Bhola,2017,33.92,33.17,33.320668477748754,33.12628827095032,33.56056752615696
