station,model_a,model_b,DM,p
Bhola,SARIMA+SVR,SARIMA+XGB,-1.4519893218702284,0.14869507907450086
Bhola,SARIMA+XGB,SNAIVE,-4.388457481755433,2.2030830378093368e-05
Bhola,SARIMA+XGB,SVR,-2.9625659840653253,0.00357416407197702
Bhola,SARIMA+XGB,XGB,-3.881597399724594,0.00015793446820575591
Bhola,SARIMA+LSTM,SNAIVE,-4.846273830076441,3.2366372851254944e-06
Bhola,SARIMA+LSTM,SVR,-3.549852538197967,0.0005221169447616366
Bhola,SARIMA+LSTM,XGB,-3.840778799604335,0.0001837175178512436
Bhola,SARIMA+LSTM,SARIMA+SVR,-0.9057442412309477,0.36659480290165336
Bhola,SARIMA+LSTM,SARIMA+XGB,-1.4464623826947913,0.15023589952388053
Bogra,SNAIVE,SVR,3.2326966900160716,0.0015225533863317826
Bogra,SNAIVE,XGB,2.4667421411009784,0.014816215395685605
Bogra,SARIMA,SNAIVE,-3.6598340728980734,0.00035423680152522376
Bogra,SARIMA,SVR,-0.7772576045575584,0.43829071907053463
Bogra,SARIMA,XGB,-1.9306964380662825,0.055499435338547586
Bogra,SARIMA,SARIMA+ANN,-1.6062080054726633,0.1104342019302871
Bogra,SARIMA,SARIMA+SVR,0.9731252501585798,0.3321342671179055
Bogra,SARIMA,SARIMA+XGB,0.9439423467027027,0.3467912193785903
Bogra,SARIMA,SARIMA+LSTM,-0.7706506718158862,0.4421854017054774
Bogra,ANN,SNAIVE,-2.5450429014295586,0.011986911335263726
Bogra,ANN,SARIMA,1.6293528213628392,0.10543927377371241
Bogra,ANN,SVR,1.2712804364278432,0.20569283458050086
Bogra,ANN,XGB,-0.336346028746328,0.7371029947496694
Bogra,ANN,LSTM,-1.7665227228920335,0.07944179530305137
Bogra,ANN,SARIMA+ANN,0.8218589607926794,0.41252535985954886
Bogra,ANN,SARIMA+SVR,1.8532902433650107,0.06590155307741526
Bogra,ANN,SARIMA+XGB,1.6862758615233433,0.09392324080876897
Bogra,ANN,SARIMA+LSTM,1.3607499348952272,0.17573351097076997
Bogra,SVR,XGB,-1.7090985291452274,0.0896020243570847
Bogra,LSTM,SNAIVE,-1.6051164724669693,0.11067435383407931
Bogra,LSTM,SARIMA,2.7553619174694757,0.006626055724319478
Bogra,LSTM,SVR,2.7558698209135497,0.006616303016644255
Bogra,LSTM,XGB,1.018183383687648,0.3103103489010127
Bogra,LSTM,SARIMA+ANN,1.9599685838099672,0.05194364196997889
Bogra,LSTM,SARIMA+SVR,2.893662382745281,0.004404513195833914
Bogra,LSTM,SARIMA+XGB,2.8114829232029015,0.005624076442516889
Bogra,LSTM,SARIMA+LSTM,2.4050664528026697,0.0174484842397559
Bogra,SARIMA+ANN,SNAIVE,-3.1448386385149947,0.002021609906391483
Bogra,SARIMA+ANN,SVR,0.2232802952462479,0.82363600253864
Bogra,SARIMA+ANN,XGB,-1.1358459235379372,0.2579210973898987
Bogra,SARIMA+ANN,SARIMA+SVR,2.2314267000505716,0.027208963993973663
Bogra,SARIMA+ANN,SARIMA+XGB,1.7333255297171823,0.08519335589483665
Bogra,SARIMA+ANN,SARIMA+LSTM,1.124312856018443,0.26276407424284015
Bogra,SARIMA+SVR,SNAIVE,-3.896904107839923,0.00014918428444471085
Bogra,SARIMA+SVR,SVR,-1.0583328845308517,0.29168817528379853
Bogra,SARIMA+SVR,XGB,-2.0976942590186347,0.037691552461875166
Bogra,SARIMA+SVR,SARIMA+XGB,-0.733388308894567,0.46452223556062117
Bogra,SARIMA+XGB,SNAIVE,-3.728138146801997,0.00027721142045035007
Bogra,SARIMA+XGB,SVR,-0.8513550974576582,0.3959955415852818
Bogra,SARIMA+XGB,XGB,-2.004180890579338,0.046939167162943114
Bogra,SARIMA+LSTM,SNAIVE,-3.5190964455023623,0.0005810548395548201
Bogra,SARIMA+LSTM,SVR,-0.4523392680142621,0.6517100331447131
Bogra,SARIMA+LSTM,XGB,-1.675623924607515,0.09599709308241687
