station,model,date,forecast,lower95,upper95,sarima_forecast,sarima_lower95,sarima_upper95
Faridpur,SARIMA+SVR,2026-07-01,32.87390708812036,30.874591511335773,34.674819448171725,32.900805674487074,31.05508486899747,34.74652647997668
Faridpur,SARIMA+SVR,2026-08-01,32.984030068670606,30.984714491886017,34.78494242872197,32.919131071468925,31.073410259719775,34.76485188321808
Faridpur,SARIMA+SVR,2026-09-01,33.389544137428565,31.390228560643976,35.19045649747993,33.25914921784288,31.413428405942526,35.10487002974324
Faridpur,SARIMA+SVR,2026-10-01,32.73958537048435,30.74026979369976,34.54049773053571,32.6851679787286,30.839447170880064,34.53088878657714
Faridpur,SARIMA+SVR,2026-11-01,30.34288159691272,28.34356602012813,32.14379395696408,30.381230313580136,28.535509565042954,32.226951062117315
Faridpur,SARIMA+SVR,2026-12-01,26.34547659325671,24.34616101647212,28.146388953308072,26.35344035475109,24.50772046815961,28.199160241342568
Faridpur,SARIMA+SVR,2027-01-01,24.8784666912031,22.879151114418512,26.679379051254465,24.895321758712402,23.046317796771937,26.744325720652867
Faridpur,SARIMA+SVR,2027-02-01,28.893048080707025,26.893732503922436,30.69396044075839,28.92098304266123,27.071752449886027,30.770213635436434
Faridpur,SARIMA+SVR,2027-03-01,33.33000500704509,31.3306894302605,35.13091736709645,33.38080553277058,31.531559345754285,35.23005171978688
Faridpur,SARIMA+SVR,2027-04-01,35.27114721535894,33.27183163857435,37.0720595754103,35.33244005723736,33.483192797131494,37.18168731734323
Faridpur,SARIMA+SVR,2027-05-01,34.52642724213957,32.52711166535498,36.32733960219093,34.56849947510443,32.719252141155536,36.41774680905333
Faridpur,SARIMA+SVR,2027-06-01,33.69019882068209,31.690883243897503,35.491111180733455,33.71453945701512,31.865292117984914,35.56378679604533
Faridpur,SARIMA+SVR,2027-07-01,32.94047346611741,30.94115788933282,34.741385826168774,32.930691021158786,31.08144368178024,34.77993836053734
Faridpur,SARIMA+SVR,2027-08-01,33.00333016547816,31.004014588693572,34.804242525529524,32.948976465504245,31.099729126120927,34.79822380488756
Faridpur,SARIMA+SVR,2027-09-01,33.357258389358954,31.357942812574365,35.15817074941032,33.288984131371315,31.43973679226667,35.13823147047596
Faridpur,SARIMA+SVR,2027-10-01,32.76402230960955,30.764706732824962,34.564934669660914,32.71500014297602,30.86575280794503,34.564247478007005
Faridpur,SARIMA+SVR,2027-11-01,30.431824650351327,28.432509073566738,32.23273701040269,30.41106175662712,28.561814480796414,32.260309032457826
Faridpur,SARIMA+SVR,2027-12-01,26.374278837452255,24.374963260667666,28.17519119750362,26.383271608610407,24.534025193081806,28.232518024139008
Faridpur,SARIMA+SVR,2028-01-01,24.900008681234784,22.900693104450195,26.700921041286147,24.925152962943386,23.072628734305137,26.777677191581635
Faridpur,SARIMA+SVR,2028-02-01,28.91585949911659,26.916543922332,30.716771859167952,28.950814233873547,27.09806380573124,30.803564662015855
Faridpur,SARIMA+SVR,2028-03-01,33.368305221480156,31.368989644695567,35.16921758153152,33.4106367205678,31.557870727859957,35.263402713275646
Faridpur,SARIMA+SVR,2028-04-01,35.31421161491249,33.3148960381279,37.11512397496385,35.362271244138725,33.50950418038336,37.21503830789409
Faridpur,SARIMA+SVR,2028-05-01,34.552094851707,32.55277927492241,36.35300721175836,34.59833066177079,32.745563524312914,36.45109779922866
Faridpur,SARIMA+SVR,2028-06-01,33.71948931013163,31.72017373334704,35.52040167018299,33.744370643619824,31.891603501090316,35.59713778614933
Faridpur,SARIMA+SVR,2028-07-01,32.97359472145025,30.97427914466566,34.77450708150161,32.960522207747324,31.107755064870137,34.813289350624515
Faridpur,SARIMA+SVR,2028-08-01,33.02803351832629,31.0287179415417,34.82894587837765,32.978807652088534,31.126040509206582,34.831574794970486
Faridpur,SARIMA+SVR,2028-09-01,33.38335238472822,31.38403680794363,35.18426474477958,33.318815317954495,31.46604817535069,35.171582460558305
Faridpur,SARIMA+SVR,2028-10-01,32.79757638081654,30.798260804031948,34.5984887408679,32.744831329558906,30.892064191021017,34.59759846809679
Faridpur,SARIMA+SVR,2028-11-01,30.46314973333207,28.46383415654748,32.26406209338343,30.44089294320993,28.588125863759856,32.293660022660006
Faridpur,SARIMA+SVR,2028-12-01,26.404703032426134,24.405387455641545,28.205615392477497,26.413102795193197,24.56033657441087,28.265869015975525
Jessore,SARIMA+ANN,2026-01-01,25.145006004895336,23.17671340944964,26.72759169204307,25.18383294277965,23.362075760940773,27.005590124618525
Jessore,SARIMA+ANN,2026-02-01,29.12590968972236,27.157617094276663,30.708495376870093,29.44980199710256,27.554832424270714,31.34477156993441
Jessore,SARIMA+ANN,2026-03-01,33.9002250980076,31.931932502561907,35.48281078515534,33.91967993361659,32.01883268470549,35.8205271825277
Jessore,SARIMA+ANN,2026-04-01,36.21047024727622,34.242177651830524,37.793055934423954,36.45222495431428,34.550896595393056,38.35355331323551
Jessore,SARIMA+ANN,2026-05-01,35.90903313173485,33.940740536289155,37.491618818882586,36.0131318803087,34.111764080143104,37.91449968047429
Jessore,SARIMA+ANN,2026-06-01,34.78692269919914,32.81863010375344,36.36950838634687,34.955354780853554,33.05398374690107,36.85672581480604
Jessore,SARIMA+ANN,2026-07-01,33.564592212309044,31.596299616863348,35.14717789945678,33.64265358889611,31.741282289803493,35.544024887988726
Jessore,SARIMA+ANN,2026-08-01,33.514814718092225,31.54652212264653,35.09740040523996,33.49991651300039,31.598545192177617,35.40128783382317
Jessore,SARIMA+ANN,2026-09-01,33.74000216888863,31.771709573442934,35.322587856036364,33.892104695351804,31.99073337285614,35.79347601784747
Jessore,SARIMA+ANN,2026-10-01,33.06830751588394,31.10001492043824,34.65089320303167,33.272101834659836,31.370730513353838,35.17347315596583
Jessore,SARIMA+ANN,2026-11-01,30.69036610218802,28.722073506742323,32.27295178933575,30.844208222277175,28.942836917251384,32.745579527302965
Jessore,SARIMA+ANN,2026-12-01,26.658317469856694,24.690024874410998,28.24090315700443,26.952199256789342,25.050828150470235,28.85357036310845
Jessore,SARIMA+ANN,2027-01-01,25.237626157471684,23.269333562025988,26.82021184461942,25.557632208647206,23.650620617558282,27.46464379973613
Jessore,SARIMA+ANN,2027-02-01,29.17360802922062,27.205315433774924,30.756193716368355,29.574943143276855,27.66746962702473,31.48241665952898
Jessore,SARIMA+ANN,2027-03-01,33.64345337717444,31.675160781728742,35.22603906432217,33.973620180279404,32.06610879532774,35.881131565231065
Jessore,SARIMA+ANN,2027-04-01,36.24011777330354,34.27182517785784,37.82270346045127,36.48577749717922,34.57826300737203,38.39329198698641
Jessore,SARIMA+ANN,2027-05-01,35.93279682293334,33.964504227487645,37.515382510081075,36.04084659712085,34.13333185274398,37.948361341497716
Jessore,SARIMA+ANN,2027-06-01,34.874098475183345,32.90580587973765,36.45668416233108,34.98139789141909,33.07388312616989,36.888912656668296
Jessore,SARIMA+ANN,2027-07-01,33.601666702151775,31.63337410670608,35.18425238929951,33.66821805083141,31.760703283871596,35.575732817791234
Jessore,SARIMA+ANN,2027-08-01,33.431147841621254,31.462855246175558,35.01373352876899,33.525343918429904,31.61782915133872,35.43285868552108
Jessore,SARIMA+ANN,2027-09-01,33.823338204387056,31.85504560894136,35.40592389153479,33.91749285594785,32.009978088954334,35.825007622941364
Jessore,SARIMA+ANN,2027-10-01,33.081990934528804,31.113698339083108,34.66457662167654,33.29747875786919,31.38996399220624,35.204993523532146
Jessore,SARIMA+ANN,2027-11-01,30.603448802009847,28.63515620656415,32.18603448915758,30.869581927767197,28.962067178343883,32.77709667719051
Jessore,SARIMA+ANN,2027-12-01,26.658715708556944,24.690423113111247,28.241301395704678,26.97757204091588,25.07005748956026,28.885086592271502
Jessore,SARIMA+ANN,2028-01-01,25.264978540996903,23.296685945551207,26.847564228144638,25.58300472895003,23.669867844401786,27.496141613498274
Jessore,SARIMA+ANN,2028-02-01,29.221412524755063,27.253119929309367,30.803998211902798,29.600315588036256,27.6867182601115,31.51391291596101
Jessore,SARIMA+ANN,2028-03-01,33.69026609369139,31.721973498245696,35.272851780839126,33.99899260340766,32.08535752822883,35.91262767858648
Jessore,SARIMA+ANN,2028-04-01,36.27534458672239,34.307051991276694,37.857930273870124,36.5111499141136,34.59751174403635,38.42478808419085
Jessore,SARIMA+ANN,2028-05-01,35.95351058836669,33.985217992920994,37.536096275514424,36.06621901228167,34.15258058845114,37.979857436112205
Jessore,SARIMA+ANN,2028-06-01,34.926281332814845,32.95798873736915,36.50886701996258,35.00677030607208,33.09313186143614,36.92040875070801
Jessore,SARIMA+ANN,2028-07-01,33.61874054323142,31.65044794778572,35.20132623037915,33.693590465338985,31.77995201899792,35.607228911680046
Jessore,SARIMA+ANN,2028-08-01,33.45376538598688,31.48547279054118,35.03635107313461,33.55071633289584,31.637077886423832,35.464354779367845
Jessore,SARIMA+ANN,2028-09-01,33.830720222427026,31.86242762698133,35.41330590957476,33.94286527040186,32.029226824027205,35.856503716776515
Jessore,SARIMA+ANN,2028-10-01,33.11374697876842,31.145454383322722,34.69633266591615,33.32285117231979,31.409212727271438,35.236489617368136
Jessore,SARIMA+ANN,2028-11-01,30.62926288139565,28.660970285949954,32.21184856854339,30.894954342216813,28.981315913356138,32.808592771077485
Jessore,SARIMA+ANN,2028-12-01,26.68853236684747,24.720239771401772,28.271118053995203,27.002944455365217,25.089306223938415,28.91658268679202
Khulna,SARIMA+SVR,2026-01-01,25.09810257947151,23.416252714339368,26.934630557068754,24.97531180658548,23.34219262395484,26.60843098921612
Khulna,SARIMA+SVR,2026-02-01,29.103370602454547,27.421520737322403,30.93989858005179,29.008851718644134,27.314982537168707,30.702720900119562
Khulna,SARIMA+SVR,2026-03-01,33.17793254671462,31.49608268158248,35.014460524311865,33.18851438804333,31.485657410264146,34.891371365822515
Khulna,SARIMA+SVR,2026-04-01,35.65448971984368,33.97263985471154,37.491017697440924,35.69156597519649,33.985416603505314,37.397715346887665
Khulna,SARIMA+SVR,2026-05-01,35.35991139757891,33.67806153244677,37.196439375176155,35.40839867151731,33.70016587230644,37.11663147072818
Khulna,SARIMA+SVR,2026-06-01,34.303973749289625,32.62212388415748,36.14050172688687,34.182269411162494,32.47243633761213,35.89210248471286
Khulna,SARIMA+SVR,2026-07-01,33.03357799808336,31.351728132951216,34.8701059756806,32.902370489867124,31.191240410470716,34.61350056926353
Khulna,SARIMA+SVR,2026-08-01,32.8828791012458,31.201029236113655,34.71940707884304,32.7957452275033,31.083549288326054,34.50794116668055
Khulna,SARIMA+SVR,2026-09-01,33.40705113751338,31.725201272381234,35.24357911511062,33.358029587388955,31.644954626346486,35.07110454843142
Khulna,SARIMA+SVR,2026-10-01,32.854160751521775,31.17231088638963,34.69068872911902,32.880205946019274,31.166405358847214,34.59400653319133
Khulna,SARIMA+SVR,2026-11-01,30.461033563382973,28.77918369825083,32.29756154098021,30.484205472676585,28.769805713484757,32.19860523186841
Khulna,SARIMA+SVR,2026-12-01,26.46576484296811,24.783914977835966,28.302292820565352,26.443379365672374,24.72848482228138,28.158273909063368
Khulna,SARIMA+SVR,2027-01-01,25.078376788354262,23.39652692322212,26.914904765951505,25.15289766300213,23.427058163450443,26.878737162553815
Khulna,SARIMA+SVR,2027-02-01,29.00194261546472,27.320092750332577,30.838470593061963,29.06292212064897,27.335359256517812,30.79048498478013
Khulna,SARIMA+SVR,2027-03-01,33.18706570823838,31.505215843106235,35.02359368583562,33.214530999326016,31.48631008675031,34.94275191190172
Khulna,SARIMA+SVR,2027-04-01,35.71739731352172,34.03554744838958,37.553925291118965,35.711118463168276,33.982473803857715,37.43976312247884
Khulna,SARIMA+SVR,2027-05-01,35.44714019768406,33.76529033255191,37.2836681752813,35.42637819062247,33.69740622442645,37.15535015681849
Khulna,SARIMA+SVR,2027-06-01,34.219366480959806,32.53751661582766,36.05589445855705,34.19979170658207,32.47055395540135,35.92902945776279
Khulna,SARIMA+SVR,2027-07-01,32.963952203905365,31.28210233877322,34.80048018150261,32.919697017520406,31.19024066070326,34.64915337433755
